Season,DateTime,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Full Time Result,Half Time Home Goals,Half Time Away Goals,Half Time Result,Home Team Shoots,Away Team Shoots
2020-21,2020-09-12T12:30:00Z,Fulham,Arsenal,0,3,A,0,1,A,5,13
2020-21,2020-09-12T15:00:00Z,Crystal Palace,Southampton,1,0,H,1,0,H,5,9
2020-21,2020-09-12T17:30:00Z,Liverpool,Leeds,4,3,H,3,2,H,22,6
2020-21,2020-09-12T20:00:00Z,West Ham,Newcastle,0,2,A,0,0,D,15,15
2020-21,2020-09-13T14:00:00Z,West Brom,Leicester,0,3,A,0,0,D,7,13
2020-21,2020-09-13T16:30:00Z,Tottenham,Everton,0,1,A,0,0,D,9,15
2020-21,2020-09-14T20:15:00Z,Brighton,Chelsea,1,3,A,0,1,A,13,10
2020-21,2020-09-14T18:00:00Z,Sheffield United,Wolves,0,2,A,0,2,A,9,11
2020-21,2020-09-19T12:30:00Z,Everton,West Brom,5,2,H,2,1,H,17,6
2020-21,2020-09-19T15:00:00Z,Leeds,Fulham,4,3,H,2,1,H,10,14
2020-21,2020-09-19T17:30:00Z,Man United,Crystal Palace,1,3,A,0,1,A,13,14
2020-21,2020-09-19T20:00:00Z,Arsenal,West Ham,2,1,H,1,1,D,7,14
2020-21,2020-09-20T12:00:00Z,Southampton,Tottenham,2,5,A,1,1,D,14,9
2020-21,2020-09-20T14:00:00Z,Newcastle,Brighton,0,3,A,0,2,A,6,13
2020-21,2020-09-20T16:30:00Z,Chelsea,Liverpool,0,2,A,0,0,D,5,18
2020-21,2020-09-20T19:00:00Z,Leicester,Burnley,4,2,H,1,1,D,14,16
2020-21,2020-09-21T18:00:00Z,Aston Villa,Sheffield United,1,0,H,0,0,D,18,4
2020-21,2020-09-21T20:15:00Z,Wolves,Man City,1,3,A,0,2,A,10,14
2020-21,2020-09-26T12:30:00Z,Brighton,Man United,2,3,A,1,1,D,18,7
2020-21,2020-09-26T15:00:00Z,Crystal Palace,Everton,1,2,A,1,2,A,8,10
2020-21,2020-09-26T17:30:00Z,West Brom,Chelsea,3,3,D,3,0,H,9,22
2020-21,2020-09-26T20:00:00Z,Burnley,Southampton,0,1,A,0,1,A,10,5
2020-21,2020-09-27T12:00:00Z,Sheffield United,Leeds,0,1,A,0,0,D,14,17
2020-21,2020-09-27T14:00:00Z,Tottenham,Newcastle,1,1,D,1,0,H,23,6
2020-21,2020-09-27T16:30:00Z,Man City,Leicester,2,5,A,1,1,D,16,7
2020-21,2020-09-27T19:00:00Z,West Ham,Wolves,4,0,H,1,0,H,15,11
2020-21,2020-09-28T17:45:00Z,Fulham,Aston Villa,0,3,A,0,2,A,16,12
2020-21,2020-09-28T20:00:00Z,Liverpool,Arsenal,3,1,H,2,1,H,21,4
2020-21,2020-10-03T12:30:00Z,Chelsea,Crystal Palace,4,0,H,0,0,D,17,4
2020-21,2020-10-03T15:00:00Z,Everton,Brighton,4,2,H,2,1,H,11,11
2020-21,2020-10-03T17:30:00Z,Leeds,Man City,1,1,D,0,1,A,12,23
2020-21,2020-10-03T20:00:00Z,Newcastle,Burnley,3,1,H,1,0,H,10,7
2020-21,2020-10-04T12:00:00Z,Leicester,West Ham,0,3,A,0,2,A,4,14
2020-21,2020-10-04T12:00:00Z,Southampton,West Brom,2,0,H,1,0,H,13,5
2020-21,2020-10-04T14:00:00Z,Arsenal,Sheffield United,2,1,H,0,0,D,6,6
2020-21,2020-10-04T14:00:00Z,Wolves,Fulham,1,0,H,0,0,D,14,10
2020-21,2020-10-04T16:30:00Z,Man United,Tottenham,1,6,A,1,4,A,5,22
2020-21,2020-10-04T19:15:00Z,Aston Villa,Liverpool,7,2,H,4,1,H,18,14
2020-21,2020-10-17T12:30:00Z,Everton,Liverpool,2,2,D,1,1,D,11,22
2020-21,2020-10-17T15:00:00Z,Chelsea,Southampton,3,3,D,2,1,H,11,13
2020-21,2020-10-17T17:30:00Z,Man City,Arsenal,1,0,H,1,0,H,13,11
2020-21,2020-10-17T20:00:00Z,Newcastle,Man United,1,4,A,1,1,D,7,28
2020-21,2020-10-18T12:00:00Z,Sheffield United,Fulham,1,1,D,0,0,D,10,15
2020-21,2020-10-18T14:00:00Z,Crystal Palace,Brighton,1,1,D,1,0,H,1,20
2020-21,2020-10-18T16:30:00Z,Tottenham,West Ham,3,3,D,3,0,H,11,13
2020-21,2020-10-18T19:15:00Z,Leicester,Aston Villa,0,1,A,0,0,D,11,10
2020-21,2020-10-19T17:30:00Z,West Brom,Burnley,0,0,D,0,0,D,13,9
2020-21,2020-10-19T20:00:00Z,Leeds,Wolves,0,1,A,0,0,D,13,7
2020-21,2020-10-23T20:00:00Z,Aston Villa,Leeds,0,3,A,0,0,D,12,27
2020-21,2020-10-24T12:30:00Z,West Ham,Man City,1,1,D,1,0,H,6,14
2020-21,2020-10-24T15:00:00Z,Fulham,Crystal Palace,1,2,A,0,1,A,16,14
2020-21,2020-10-24T17:30:00Z,Man United,Chelsea,0,0,D,0,0,D,14,6
2020-21,2020-10-24T20:00:00Z,Liverpool,Sheffield United,2,1,H,1,1,D,17,13
2020-21,2020-10-25T14:00:00Z,Southampton,Everton,2,0,H,2,0,H,12,6
2020-21,2020-10-25T16:30:00Z,Wolves,Newcastle,1,1,D,0,0,D,16,5
2020-21,2020-10-25T19:15:00Z,Arsenal,Leicester,0,1,A,0,0,D,12,6
2020-21,2020-10-26T17:30:00Z,Brighton,West Brom,1,1,D,1,0,H,5,9
2020-21,2020-10-26T20:00:00Z,Burnley,Tottenham,0,1,A,0,0,D,13,9
2020-21,2020-10-30T20:00:00Z,Wolves,Crystal Palace,2,0,H,2,0,H,15,11
2020-21,2020-10-31T12:30:00Z,Sheffield United,Man City,0,1,A,0,1,A,5,16
2020-21,2020-10-31T15:00:00Z,Burnley,Chelsea,0,3,A,0,1,A,5,14
2020-21,2020-10-31T17:30:00Z,Liverpool,West Ham,2,1,H,1,1,D,9,4
2020-21,2020-11-01T12:00:00Z,Aston Villa,Southampton,3,4,A,0,3,A,19,9
2020-21,2020-11-01T14:00:00Z,Newcastle,Everton,2,1,H,0,0,D,11,15
2020-21,2020-11-01T16:30:00Z,Man United,Arsenal,0,1,A,0,0,D,8,7
2020-21,2020-11-01T19:15:00Z,Tottenham,Brighton,2,1,H,1,0,H,9,6
2020-21,2020-11-02T17:30:00Z,Fulham,West Brom,2,0,H,2,0,H,13,10
2020-21,2020-11-02T20:00:00Z,Leeds,Leicester,1,4,A,0,2,A,11,10
2020-21,2020-11-06T17:30:00Z,Brighton,Burnley,0,0,D,0,0,D,19,4
2020-21,2020-11-06T20:00:00Z,Southampton,Newcastle,2,0,H,1,0,H,15,4
2020-21,2020-11-07T12:30:00Z,Everton,Man United,1,3,A,1,2,A,7,13
2020-21,2020-11-07T15:00:00Z,Crystal Palace,Leeds,4,1,H,3,1,H,10,9
2020-21,2020-11-07T17:30:00Z,Chelsea,Sheffield United,4,1,H,2,1,H,20,6
2020-21,2020-11-07T20:00:00Z,West Ham,Fulham,1,0,H,0,0,D,16,13
2020-21,2020-11-08T12:00:00Z,West Brom,Tottenham,0,1,A,0,0,D,12,19
2020-21,2020-11-08T14:00:00Z,Leicester,Wolves,1,0,H,1,0,H,10,7
2020-21,2020-11-08T16:30:00Z,Man City,Liverpool,1,1,D,1,1,D,7,10
2020-21,2020-11-08T19:15:00Z,Arsenal,Aston Villa,0,3,A,0,1,A,13,15
2020-21,2020-11-21T12:30:00Z,Newcastle,Chelsea,0,2,A,0,1,A,8,14
2020-21,2020-11-21T15:00:00Z,Aston Villa,Brighton,1,2,A,0,1,A,15,7
2020-21,2020-11-21T17:30:00Z,Tottenham,Man City,2,0,H,1,0,H,4,22
2020-21,2020-11-21T20:00:00Z,Man United,West Brom,1,0,H,0,0,D,17,7
2020-21,2020-11-22T12:00:00Z,Fulham,Everton,2,3,A,1,3,A,14,9
2020-21,2020-11-22T14:00:00Z,Sheffield United,West Ham,0,1,A,0,0,D,9,15
2020-21,2020-11-22T16:30:00Z,Leeds,Arsenal,0,0,D,0,0,D,25,9
2020-21,2020-11-22T19:15:00Z,Liverpool,Leicester,3,0,H,2,0,H,24,11
2020-21,2020-11-23T17:30:00Z,Burnley,Crystal Palace,1,0,H,1,0,H,10,15
2020-21,2020-11-23T20:00:00Z,Wolves,Southampton,1,1,D,0,0,D,20,7
2020-21,2020-11-27T20:00:00Z,Crystal Palace,Newcastle,0,2,A,0,0,D,12,14
2020-21,2020-11-28T12:30:00Z,Brighton,Liverpool,1,1,D,0,0,D,11,6
2020-21,2020-11-28T15:00:00Z,Man City,Burnley,5,0,H,3,0,H,19,9
2020-21,2020-11-28T17:30:00Z,Everton,Leeds,0,1,A,0,0,D,15,23
2020-21,2020-11-28T20:00:00Z,West Brom,Sheffield United,1,0,H,1,0,H,17,21
2020-21,2020-11-29T14:00:00Z,Southampton,Man United,2,3,A,2,0,H,10,15
2020-21,2020-11-29T16:30:00Z,Chelsea,Tottenham,0,0,D,0,0,D,13,5
2020-21,2020-11-29T19:15:00Z,Arsenal,Wolves,1,2,A,1,2,A,13,11
2020-21,2020-11-30T17:30:00Z,Leicester,Fulham,1,2,A,0,2,A,16,10
2020-21,2020-11-30T20:00:00Z,West Ham,Aston Villa,2,1,H,1,1,D,6,16
2020-21,2020-12-05T12:30:00Z,Burnley,Everton,1,1,D,1,1,D,8,13
2020-21,2020-12-05T15:00:00Z,Man City,Fulham,2,0,H,2,0,H,16,6
2020-21,2020-12-05T17:30:00Z,West Ham,Man United,1,3,A,1,0,H,19,15
2020-21,2020-12-05T20:00:00Z,Chelsea,Leeds,3,1,H,1,1,D,23,8
2020-21,2020-12-06T12:00:00Z,West Brom,Crystal Palace,1,5,A,1,1,D,9,18
2020-21,2020-12-06T14:15:00Z,Sheffield United,Leicester,1,2,A,1,1,D,4,13
2020-21,2020-12-06T16:30:00Z,Tottenham,Arsenal,2,0,H,2,0,H,6,11
2020-21,2020-12-06T19:15:00Z,Liverpool,Wolves,4,0,H,1,0,H,11,9
2020-21,2020-12-07T20:00:00Z,Brighton,Southampton,1,2,A,1,1,D,12,10
2020-21,2020-12-11T20:00:00Z,Leeds,West Ham,1,2,A,1,1,D,13,19
2020-21,2020-12-12T12:30:00Z,Wolves,Aston Villa,0,1,A,0,0,D,16,13
2020-21,2020-12-12T15:00:00Z,Newcastle,West Brom,2,1,H,1,0,H,12,13
2020-21,2020-12-12T17:30:00Z,Man United,Man City,0,0,D,0,0,D,11,9
2020-21,2020-12-12T20:00:00Z,Everton,Chelsea,1,0,H,1,0,H,9,10
2020-21,2020-12-13T12:00:00Z,Southampton,Sheffield United,3,0,H,1,0,H,16,3
2020-21,2020-12-13T14:15:00Z,Crystal Palace,Tottenham,1,1,D,0,1,A,16,14
2020-21,2020-12-13T16:30:00Z,Fulham,Liverpool,1,1,D,1,0,H,10,12
2020-21,2020-12-13T19:15:00Z,Arsenal,Burnley,0,1,A,0,0,D,18,10
2020-21,2020-12-13T19:15:00Z,Leicester,Brighton,3,0,H,3,0,H,15,12
2020-21,2020-12-15T18:00:00Z,Wolves,Chelsea,2,1,H,0,0,D,12,13
2020-21,2020-12-15T20:00:00Z,Man City,West Brom,1,1,D,1,1,D,26,5
2020-21,2020-12-16T18:00:00Z,Arsenal,Southampton,1,1,D,0,1,A,9,13
2020-21,2020-12-16T18:00:00Z,Leeds,Newcastle,5,2,H,1,1,D,25,10
2020-21,2020-12-16T18:00:00Z,Leicester,Everton,0,2,A,0,1,A,14,11
2020-21,2020-12-16T20:00:00Z,Fulham,Brighton,0,0,D,0,0,D,9,9
2020-21,2020-12-16T20:00:00Z,Liverpool,Tottenham,2,1,H,1,1,D,17,8
2020-21,2020-12-16T20:00:00Z,West Ham,Crystal Palace,1,1,D,0,1,A,9,8
2020-21,2020-12-17T18:00:00Z,Aston Villa,Burnley,0,0,D,0,0,D,27,6
2020-21,2020-12-17T20:00:00Z,Sheffield United,Man United,2,3,A,1,2,A,12,14
2020-21,2020-12-19T12:30:00Z,Crystal Palace,Liverpool,0,7,A,0,3,A,5,14
2020-21,2020-12-19T15:00:00Z,Southampton,Man City,0,1,A,0,1,A,9,11
2020-21,2020-12-19T17:30:00Z,Everton,Arsenal,2,1,H,2,1,H,9,13
2020-21,2020-12-19T20:00:00Z,Newcastle,Fulham,1,1,D,0,1,A,12,11
2020-21,2020-12-20T12:00:00Z,Brighton,Sheffield United,1,1,D,0,0,D,21,5
2020-21,2020-12-20T14:15:00Z,Tottenham,Leicester,0,2,A,0,1,A,8,17
2020-21,2020-12-20T16:30:00Z,Man United,Leeds,6,2,H,4,1,H,26,17
2020-21,2020-12-20T19:15:00Z,West Brom,Aston Villa,0,3,A,0,1,A,1,19
2020-21,2020-12-21T17:30:00Z,Burnley,Wolves,2,1,H,1,0,H,10,15
2020-21,2020-12-21T20:00:00Z,Chelsea,West Ham,3,0,H,1,0,H,11,6
2020-21,2020-12-26T12:30:00Z,Leicester,Man United,2,2,D,1,1,D,10,9
2020-21,2020-12-26T15:00:00Z,Aston Villa,Crystal Palace,3,0,H,1,0,H,21,13
2020-21,2020-12-26T15:00:00Z,Fulham,Southampton,0,0,D,0,0,D,10,3
2020-21,2020-12-26T17:30:00Z,Arsenal,Chelsea,3,1,H,2,0,H,15,19
2020-21,2020-12-26T20:00:00Z,Man City,Newcastle,2,0,H,1,0,H,11,7
2020-21,2020-12-26T20:00:00Z,Sheffield United,Everton,0,1,A,0,0,D,10,7
2020-21,2020-12-27T12:00:00Z,Leeds,Burnley,1,0,H,1,0,H,11,14
2020-21,2020-12-27T14:15:00Z,West Ham,Brighton,2,2,D,0,1,A,11,13
2020-21,2020-12-27T16:30:00Z,Liverpool,West Brom,1,1,D,1,0,H,17,5
2020-21,2020-12-27T19:15:00Z,Wolves,Tottenham,1,1,D,0,1,A,11,6
2020-21,2020-12-28T15:00:00Z,Crystal Palace,Leicester,1,1,D,0,0,D,4,17
2020-21,2020-12-28T17:30:00Z,Chelsea,Aston Villa,1,1,D,1,0,H,16,10
2020-21,2020-12-29T18:00:00Z,Brighton,Arsenal,0,1,A,0,0,D,13,11
2020-21,2020-12-29T18:00:00Z,Burnley,Sheffield United,1,0,H,1,0,H,5,7
2020-21,2020-12-29T18:00:00Z,Southampton,West Ham,0,0,D,0,0,D,8,8
2020-21,2020-12-29T18:00:00Z,West Brom,Leeds,0,5,A,0,4,A,4,14
2020-21,2020-12-29T20:00:00Z,Man United,Wolves,1,0,H,0,0,D,11,9
2020-21,2020-12-30T20:00:00Z,Newcastle,Liverpool,0,0,D,0,0,D,8,11
2020-21,2021-01-01T17:30:00Z,Everton,West Ham,0,1,A,0,0,D,10,11
2020-21,2021-01-01T20:00:00Z,Man United,Aston Villa,2,1,H,1,0,H,19,5
2020-21,2021-01-02T12:30:00Z,Tottenham,Leeds,3,0,H,2,0,H,20,18
2020-21,2021-01-02T15:00:00Z,Crystal Palace,Sheffield United,2,0,H,2,0,H,9,7
2020-21,2021-01-02T17:30:00Z,Brighton,Wolves,3,3,D,1,3,A,13,11
2020-21,2021-01-02T20:00:00Z,West Brom,Arsenal,0,4,A,0,2,A,7,21
2020-21,2021-01-03T14:15:00Z,Newcastle,Leicester,1,2,A,0,0,D,8,9
2020-21,2021-01-03T16:30:00Z,Chelsea,Man City,1,3,A,0,3,A,9,18
2020-21,2021-01-04T20:00:00Z,Southampton,Liverpool,1,0,H,1,0,H,7,17
2020-21,2021-01-12T18:00:00Z,Sheffield United,Newcastle,1,0,H,0,0,D,17,7
2020-21,2021-01-12T20:15:00Z,Burnley,Man United,0,1,A,0,0,D,11,13
2020-21,2021-01-12T20:15:00Z,Wolves,Everton,1,2,A,1,1,D,12,5
2020-21,2021-01-13T18:00:00Z,Man City,Brighton,1,0,H,1,0,H,16,5
2020-21,2021-01-13T20:15:00Z,Tottenham,Fulham,1,1,D,1,0,H,15,15
2020-21,2021-01-14T20:00:00Z,Arsenal,Crystal Palace,0,0,D,0,0,D,11,12
2020-21,2021-01-16T12:30:00Z,Wolves,West Brom,2,3,A,2,1,H,23,12
2020-21,2021-01-16T15:00:00Z,Leeds,Brighton,0,1,A,0,1,A,7,7
2020-21,2021-01-16T15:00:00Z,West Ham,Burnley,1,0,H,1,0,H,15,10
2020-21,2021-01-16T17:30:00Z,Fulham,Chelsea,0,1,A,0,0,D,10,21
2020-21,2021-01-16T20:00:00Z,Leicester,Southampton,2,0,H,1,0,H,16,8
2020-21,2021-01-17T14:00:00Z,Sheffield United,Tottenham,1,3,A,0,2,A,15,14
2020-21,2021-01-17T16:30:00Z,Liverpool,Man United,0,0,D,0,0,D,17,8
2020-21,2021-01-17T19:15:00Z,Man City,Crystal Palace,4,0,H,1,0,H,13,2
2020-21,2021-01-18T20:00:00Z,Arsenal,Newcastle,3,0,H,0,0,D,20,4
2020-21,2021-01-19T18:00:00Z,West Ham,West Brom,2,1,H,1,0,H,14,6
2020-21,2021-01-19T20:15:00Z,Leicester,Chelsea,2,0,H,2,0,H,8,9
2020-21,2021-01-20T18:00:00Z,Man City,Aston Villa,2,0,H,0,0,D,28,11
2020-21,2021-01-20T20:15:00Z,Fulham,Man United,1,2,A,1,1,D,12,15
2020-21,2021-01-21T20:00:00Z,Liverpool,Burnley,0,1,A,0,0,D,27,6
2020-21,2021-01-23T20:00:00Z,Aston Villa,Newcastle,2,0,H,2,0,H,14,7
2020-21,2021-01-26T18:00:00Z,Crystal Palace,West Ham,2,3,A,1,2,A,6,17
2020-21,2021-01-26T18:00:00Z,Newcastle,Leeds,1,2,A,0,1,A,22,9
2020-21,2021-01-26T20:15:00Z,Southampton,Arsenal,1,3,A,1,2,A,13,9
